,circular,ratio_a,ratio_b,ratio_pitch,ratio_top_diameter,ratio_shear_modulus,n_longerons,n_storeys,twist_angle,twist_rate_total,ratio_brace_height,ratio_a_lig,ratio_b_lig,chirality_offset
348,9.0,0.009213,0.033238,0.681277,0.04444,0.3677,3.0,1.0,0.0,,0.4215719904750585,0.0159709521951153,0.0040065363496541,0.2067187199369073
349,12.0,0.006266244927329,0.0062725174447738,0.3875732645750449,0.239938108279951,0.3677,3.0,1.0,0.0,0.5463918500981019,,,,
350,9.0,0.009213,0.033238,0.681277,0.04444,0.3677,3.0,1.0,0.0,,0.6853298210538924,0.0027621935140341,0.017838775422424,0.0640170827507972
351,12.0,0.0065465020012784,0.0065530550563348,0.3957643829644129,0.202282267525442,0.3677,3.0,1.0,0.0,0.3234402011529327,,,,
352,12.0,0.006654010685111,0.0066606713564675,0.4594314810537625,0.1270451056249723,0.3677,3.0,1.0,0.0,2.0825808975286275,,,,
353,12.0,0.0083339447580215,0.0083422870450666,0.4277846288294003,0.1615446146276072,0.3677,3.0,1.0,0.0,0.5937272285110177,,,,
354,12.0,0.0086800496837466,0.0086887384221687,0.4963482182830975,0.1925943511273936,0.3677,3.0,1.0,0.0,0.4064484692726926,,,,
355,12.0,0.0075326729581938,0.0075402131713652,0.4159076325953409,0.1757885360267237,0.3677,3.0,1.0,0.0,0.528710232405138,,,,
356,12.0,0.0098726547249595,0.0098825372622218,0.513750607928674,0.1891005967404918,0.3677,3.0,1.0,0.0,0.2031433698762612,,,,
357,12.0,0.0096625554318514,0.009672227659511,0.5268002502978252,0.1713576826598719,0.3677,3.0,1.0,0.0,0.1337086776158349,,,,
358,12.0,0.0074442244705132,0.0074516761466599,0.4323491257042096,0.2200427749898509,0.3677,3.0,1.0,0.0,0.2628393095480741,,,,
359,12.0,0.0087569609922888,0.0087657267190078,0.4680595327526734,0.2551322330977992,0.3677,3.0,1.0,0.0,0.4153586014181585,,,,
360,12.0,0.0058787276439245,0.0058846122561806,0.3499148626238511,0.2221996078040675,0.3677,3.0,1.0,0.0,0.4813597651167975,,,,
361,12.0,0.0072483756036911,0.007255631234926,0.4547952041387961,0.236386546447523,0.3677,3.0,1.0,0.0,0.1874079849189431,,,,
362,12.0,0.0081768962298448,0.008185081311156,0.4568659440040992,0.2728883574750499,0.3677,3.0,1.0,0.0,0.359160324582556,,,,
363,12.0,0.0066123631212692,0.0066189821033725,0.3741231933594153,0.2694443252828197,0.3677,3.0,1.0,0.0,0.2470284081210897,,,,
364,12.0,0.0083950034137967,0.0084034068206173,0.4920637268931077,0.2506260542419032,0.3677,3.0,1.0,0.0,0.117958173822555,,,,
365,12.0,0.0066616859592644,0.006668354313578,0.4647122769529027,0.1270451056249723,0.3677,3.0,1.0,0.0,2.131668241278628,,,,
366,12.0,0.0068276627449403,0.0068344972421825,0.3601944495350525,0.2837013959434108,0.3677,3.0,1.0,0.0,0.307644411071776,,,,
367,9.0,0.009213,0.033238,0.681277,0.04444,0.3677,3.0,1.0,0.0,,0.6589754561893642,0.0068416173867881,0.0109139672406017,0.1693750128149986
